customer_message,support_response
No.,Does this occur on any other games?
Fios!,What issue are you having with your service? We would like to help.
fuck,We don't want you to be upset with us. How can we get back in your good graces?
@VerizonSupport Do you like my new Twitter name,Nice.
Yes,Can you please test with a wired device at https://t.co/DN3OQWhNRC?
Home,Are you still out of service?
Hey,Hey :)
Home,Our Financial Services team is only available over the phone. What issue do you have with billing?
Home.,Help is here! What area are you located?
Yes,Are you able to access the Fios Mobile app as you can submit feedback regarding your issue with the My Fios app?
Yup,Press and hold the alarm silence / ONT reboot button in it for 30 seconds.
FiOS,We can help with this. Do you still have the link to our secure one on one chat?
Thanks for making lag a nonissue for me 👍👍👍 https://t.co/e13P6vtxSX,:)
@VerizonSupport Will this stop my number appearing to others when they get called by telemarketers? That’s my issue at the moment - people think it’s me!,Yes.
😭😭😭,What's going on?
slow*,Are you testing with a wireless or hardwired connection?
yes,Can you please follow and DM us?
or,Hello Kara! We have many different bundles fit for your liking. Use this link to check them out. https://t.co/lHW1ic49wc
yes!,Let's see what we can get done for you. Are you a small business with us or a larger enterprise type account?
Fios,We'll be glad to assist with your Fios issue. Have you already tried rebooting your battery backup unit?
Fuck,Yikes! We'd like to change the way you feel about us. Do you have cellular or residential service with us?
Nope,"Understood, if you ever need assistance with your residential services we will be here for you 24x7."
?,Let us know if you need anything.
@VerizonSupport Okay 👌 I hope soon,Yes.
@VerizonSupport Ok. How do I reboot the router? Just unplug it?,Yes.
Dmv,What's going on?
@VerizonSupport He's on the way. I'm so excited!,OK :)
@VerizonSupport Thanks. I’ll wait.,OK.
Green,Are you having trouble with your wired and wireless internet?
hey my fios wifi is down due to an outage so is there any way i can get data back from using cellular?,No.
"Now we can be #FiOSFriends! Check out how easy it is to switch to , and get My Rewards+ points. https://t.co/AgXL2Nll8X",Nice.
@VerizonSupport I’ll take a picture of my router and send it to you soon,Ok.
@VerizonSupport Can I send you a picture? Can’t find it,Sure.
@VerizonSupport How's your day going?,Busy.
Fios.,"Hello Brian, Have you signed onto your account to see the available deals we have for you?"
Fios,Please follow and DM @VerizonSupport so we can dig into this for you.
🤬,What's going on?
No,Can you please follow and DM us?
@VerizonSupport Can you DM me?,sure.
help,"Good afternoon, was this for your home or cell services?"
Fuck,What's going on?
