author_id,text
539953,@VerizonSupport So I don't have to open up the box?
207610,@115722  #shittycustomerservice #dontmaketheswitch #bs #runaround. Definitely going back to @119000 .
356716,When @115722 takes out @117310 with NO NOTICE 😡 &amp; now I can’t watch @44056 tonight 😡😡 thanks @115722 😒 I will be cancelling my services with you ASAP
507912,"@VerizonSupport I just tried, it works on other shows."
454378,Verizon theives @55 result! How fast is your internet? https://t.co/9xGfklx8Ic #speedtest
128628,@115722 You’re ridiculous. To charge $290 without my concent... disgusting. Thank goodness it’s not a monopoly! #bye #horribleservice
400647,"@VerizonSupport Yes, my phone has been slower over wireless and my computer has been slower in Overwatch over a wired connection"
314168,@115725 Found it what do I do next?
165232,@VerizonSupport I’m done. It took less than 30 days for crap to start happening. I’m cancelling service.
510857,@115722 @VerizonSupport your cable product is becoming the bane of my existence. I never thought I'd actually prefer @116136 cable. #getwiththeprogram #bringingbackxfinity
549860,@115722 Your customer service is non-existant. Only ISP I've ever had that you can't just TALK to someone.
714168,"Yet another day of dealing with Internet issues from @116136. I’d switch to @115722, but they’re pricing is equally insane and everyone I know that switches to FIOS, moves back to Xfinity or over to DirectTV within a year."
776504,"Whether Pai, Comcast, and Verizon like it or not, the Internet is a necessary resource to live in our modern society. To classify it in any other way is akin to denying electricity and on the same track as denying water. 4/4"
487536,@115725 Yes they did
139079,.@115725 hi why is your customer support answer to everything reset the modem? and when that doesn't work you guys offer me a new modem but really it's same model? why does your home internet service suck ass?
702499,@VerizonSupport I cancelled my contract a month ago when I moved; why am I still being billed? Why do I have an appt for installation? Why did your agent hang up on me?
121622,@VerizonSupport My Verizon
465130,"@115722 502 and up , 90%"
643519,"@VerizonSupport I'm just trying to check the avalibilty of fios in my location, but then I get put on hold for what seemed like an eternity."
482770,Yo @115722 how dare you take @117310 Off of the air?!?! My mom watches that channel you haters 😒😒😒
289059,@VerizonSupport You seem unconcerned that I've experienced a series of bad or nonexistent customer support. I want someone in charge to know about this.
733736,"@VerizonSupport how do I disable device health check, I don't want this to ever run on my device again"
218568,@VerizonSupport ...10 all-time dumbest customer service moves I've ever seen. Mind-boggling!
404695,@VerizonSupport I got my Pixel 2 XL activated yesterday and I can't hear callers unless I have it on speaker phone.  What's up with that?
673940,"@115722
I need some assistance installing a new router"
724605,@VerizonSupport when is my X actually due to deliver? Your app says today but FedEx says the 3rd...
434494,@VerizonSupport when will you be finally bringing Fios to upstate New York? Particularly the Rochester area.
